Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
1001,39.0,43.254513996717094,2.0,38.83495145631068,5.0,73.2922896511287,13.0,48.08403610001479,13.0,46.79120325378829,4.0,28.968713789107763,0.0,0.0,2.0,221.8180204959851
1002,246.0,99.67827418818933,8.0,59.75054148928225,59.0,339.70520497466606,98.0,127.51450802820933,71.0,89.80293946522983,7.0,19.73610014661103,3.0,12.168904392974486,,
1003,128.0,59.11421050200896,4.0,35.593521978999824,23.0,143.75898493655853,47.0,89.26366968643762,45.0,62.06639725252748,9.0,24.846778201093258,0.0,0.0,,
1004,38.0,47.38390942191631,6.0,139.14656771799628,8.0,122.32415902140673,10.0,51.96964972456086,13.0,48.436976042326464,0.0,0.0,1.0,10.117361392148927,0.0,0.0
1051,102.0,76.58060108263948,0.0,0.0,15.0,143.59563469270535,42.0,150.1931054212559,35.0,77.48505645339827,9.0,34.71686468137633,1.0,5.823772639916138,,
1053,188.0,94.94038450855726,7.0,61.03941402162539,24.0,142.02023788389846,53.0,133.5113484646195,83.0,115.35949075039264,16.0,47.68859348454591,5.0,20.445716622367613,0.0,0.0
1054,59.0,35.552663135503856,6.0,72.27174174897615,10.0,79.57981855801368,15.0,41.82233870518039,19.0,33.38311517174734,6.0,19.193243978119703,3.0,14.257877477306211,0.0,0.0
1055,175.0,87.26482130657877,5.0,56.618729475710566,25.0,171.23287671232876,45.0,123.46017723394331,65.0,93.35458945524006,27.0,65.13714988781935,8.0,27.04438659950644,0.0,0.0
1056,345.0,109.14164054121599,14.0,77.85563341118896,43.0,160.80777860882574,105.0,159.846547314578,136.0,118.21872202084474,35.0,66.93312424700235,12.0,31.28177054821303,0.0,0.0
1057,54.0,41.962606654958584,1.0,15.571473061351604,8.0,78.17080320500293,17.0,72.34658268788833,23.0,50.88157865628388,3.0,11.983223487118035,2.0,10.932546190007653,0.0,0.0
1058,157.0,57.27878350079169,9.0,61.681858680008226,38.0,165.79406631762652,38.0,69.55248467099844,57.0,58.2691010202204,12.0,23.93823934249636,3.0,8.823269903826358,,
1059,91.0,45.23852134661656,6.0,54.560334636719105,17.0,100.62148564664102,19.0,46.4604474874679,36.0,51.452827761659066,12.0,32.15003348961822,1.0,3.987717829086413,0.0,0.0
1060,181.0,65.30170469919726,12.0,77.61966364812419,20.0,85.81112970352255,46.0,79.23111371387233,82.0,80.9213188201277,15.0,32.080757961374765,6.0,18.598884066955982,0.0,0.0
1061,126.0,96.17366215566395,6.0,87.62961881115817,17.0,163.49297941911905,41.0,149.80452336585188,44.0,93.62299721258803,15.0,64.20958006934634,3.0,18.70207593042828,0.0,0.0
1062,269.0,110.1754615901309,10.0,73.82798080472499,31.0,144.88689474668163,90.0,193.66083532373636,93.0,103.46669040096124,38.0,92.27332329658589,6.0,18.941785578987247,1.0,40.95742066547617
2000,1891.0,102.36821918816752,56.0,47.34728387233143,210.0,143.48280597708376,626.0,126.626831133209,750.0,114.67013225288586,210.0,83.8527545629874,38.0,20.678696589103414,1.0,5.413443637660895
3101,178.0,71.3695741080808,6.0,45.38577912254161,19.0,108.86380564945854,55.0,79.95813101503212,64.0,77.45183464033305,30.0,78.67820613690007,4.0,13.705670721260923,,
3102,323.0,309.7103297504099,25.0,368.8947912055482,42.0,459.5688806215122,111.0,468.9678482403143,110.0,325.29942333284043,22.0,121.50668286755771,13.0,101.68165819319515,0.0,0.0
3103,254.0,204.22767365382606,18.0,229.73835354179963,39.0,398.85457148701164,78.0,268.78015161957273,86.0,203.82527907472803,29.0,146.56087330065193,4.0,25.383931971062317,,
3151,124.0,70.24580366297876,6.0,54.07354001441961,10.0,65.17630189663039,45.0,119.65221090696376,48.0,75.00585983279943,11.0,36.280879976252514,4.0,22.025218875612577,0.0,0.0
3153,107.0,78.50790948845126,8.0,135.2265043948614,13.0,143.7576025655203,28.0,97.59157924087692,41.0,90.75816270060875,14.0,51.81347150259067,3.0,14.672079033599061,,
3154,71.0,77.76816324742325,1.0,19.9203187250996,8.0,113.49127535820683,19.0,102.94755093194625,28.0,86.45711109738777,13.0,75.9301442672741,2.0,17.75410563692854,0.0,0.0
